provincia_id,provincia_nombre,genero,edad_actual_grandes_grupos,cantidad
58,Neuquén,M,40 y mas,10
58,Neuquén,X,0 a 17,7
58,Neuquén,X,18 a 29,34
58,Neuquén,X,30 a 39,16
58,Neuquén,X,40 y mas,7
99,Otro Pais,F,0 a 17,1
99,Otro Pais,F,18 a 29,4
99,Otro Pais,F,30 a 39,32
99,Otro Pais,F,40 y mas,99
99,Otro Pais,M,18 a 29,12
99,Otro Pais,M,30 a 39,17
99,Otro Pais,M,40 y mas,10
99,Otro Pais,X,18 a 29,1
99,Otro Pais,X,30 a 39,4
99,Otro Pais,X,40 y mas,1
62,Río Negro,F,0 a 17,11
62,Río Negro,F,18 a 29,31
62,Río Negro,F,30 a 39,39
62,Río Negro,F,40 y mas,35
62,Río Negro,M,0 a 17,28
62,Río Negro,M,18 a 29,103
62,Río Negro,M,30 a 39,28
62,Río Negro,M,40 y mas,8
62,Río Negro,X,0 a 17,6
62,Río Negro,X,18 a 29,16
62,Río Negro,X,30 a 39,6
62,Río Negro,X,40 y mas,7
66,Salta,F,0 a 17,1
66,Salta,F,18 a 29,115
66,Salta,F,30 a 39,181
66,Salta,F,40 y mas,182
66,Salta,M,0 a 17,11
66,Salta,M,18 a 29,101
66,Salta,M,30 a 39,52
66,Salta,M,40 y mas,24
66,Salta,X,0 a 17,1
66,Salta,X,18 a 29,7
66,Salta,X,30 a 39,12
66,Salta,X,40 y mas,8
70,San Juan,F,0 a 17,2
70,San Juan,F,18 a 29,60
70,San Juan,F,30 a 39,64
70,San Juan,F,40 y mas,58
70,San Juan,M,0 a 17,2
70,San Juan,M,18 a 29,60
70,San Juan,M,30 a 39,23
70,San Juan,M,40 y mas,4
70,San Juan,X,18 a 29,9
70,San Juan,X,30 a 39,4
70,San Juan,X,40 y mas,1
74,San Luis,F,0 a 17,5
74,San Luis,F,18 a 29,37
74,San Luis,F,30 a 39,54
74,San Luis,F,40 y mas,60
74,San Luis,M,0 a 17,13
74,San Luis,M,18 a 29,53
74,San Luis,M,30 a 39,15
74,San Luis,M,40 y mas,3
74,San Luis,X,0 a 17,3
74,San Luis,X,18 a 29,4
74,San Luis,X,30 a 39,5
74,San Luis,X,40 y mas,2
78,Santa Cruz,F,0 a 17,8
78,Santa Cruz,F,18 a 29,26
78,Santa Cruz,F,30 a 39,29
78,Santa Cruz,F,40 y mas,19
78,Santa Cruz,M,0 a 17,13
78,Santa Cruz,M,18 a 29,47
78,Santa Cruz,M,30 a 39,10
78,Santa Cruz,M,40 y mas,11
78,Santa Cruz,X,0 a 17,1
78,Santa Cruz,X,18 a 29,8
78,Santa Cruz,X,30 a 39,2
82,Santa Fe,F,0 a 17,10
82,Santa Fe,F,18 a 29,262
82,Santa Fe,F,30 a 39,253
82,Santa Fe,F,40 y mas,346
82,Santa Fe,M,0 a 17,60
82,Santa Fe,M,18 a 29,339
82,Santa Fe,M,30 a 39,115
82,Santa Fe,M,40 y mas,40
82,Santa Fe,X,0 a 17,5
82,Santa Fe,X,18 a 29,43
82,Santa Fe,X,30 a 39,17
82,Santa Fe,X,40 y mas,13
86,Santiago del Estero,F,18 a 29,46
